Protein	Label	log2FC	SE	Tvalue	DF	pvalue	adj.pvalue	issue	MissingPercentage	ImputationPercentage	blood plasma|case	blood plasma|control
CAP2	blood plasma|case-blood plasma|control	0.142168375	1.035698045	-0.785481922	4	0.775813555	0.775813555	NA	0.25	0.25	0	0
CMPK1	blood plasma|case-blood plasma|control	-0.532819151	1.035698045	-0.785481922	4	0.775814282	0.775814282	NA	0.25	0.25	0	0
POLR3B	blood plasma|case-blood plasma|control	-0.826205257	1.035698045	-0.785481922	4	0.775834944	0.775834944	NA	0.25	0.25	0	0
ATP5F1B	blood plasma|case-blood plasma|control	-0.862940134	1.035698045	-0.785481922	4	0.776198559	0.776198559	NA	0.25	0.25	0	0
FAF2	blood plasma|case-blood plasma|control	-0.373022952	1.035698045	-0.785481922	4	0.776313297	0.776313297	NA	0.25	0.25	0	0
UBAC1	blood plasma|case-blood plasma|control	-1.566013078	1.035698045	-0.785481922	4	0.776395605	0.776395605	NA	0.25	0.25	0	0
RPS11	blood plasma|case-blood plasma|control	0.735022162	1.035698045	-0.785481922	4	0.776556727	0.776556727	NA	0.25	0.25	0	0
EGFR	blood plasma|case-blood plasma|control	1.729137716	1.035698045	-0.785481922	4	0.776573345	0.776573345	NA	0.25	0.25	0	0
ABLIM1	blood plasma|case-blood plasma|control	1.493455463	1.035698045	-0.785481922	4	0.776592406	0.776592406	NA	0.25	0.25	0	0
TSR3	blood plasma|case-blood plasma|control	-0.917414771	1.035698045	-0.785481922	4	0.776593391	0.776593391	NA	0.25	0.25	0	0
DOCK1	blood plasma|case-blood plasma|control	0.024554332	1.035698045	-0.785481922	4	0.776609709	0.776609709	NA	0.25	0.25	0	0
SF3A3	blood plasma|case-blood plasma|control	1.487067691	1.035698045	-0.785481922	4	0.776876445	0.776876445	NA	0.25	0.25	0	0
CHAMP1	blood plasma|case-blood plasma|control	-0.657471962	1.035698045	-0.785481922	4	0.777076287	0.777076287	NA	0.25	0.25	0	0
TPT1	blood plasma|case-blood plasma|control	1.410884444	1.035698045	-0.785481922	4	0.777093397	0.777093397	NA	0.25	0.25	0	0
CKAP5	blood plasma|case-blood plasma|control	0.064731461	1.035698045	-0.785481922	4	0.777182913	0.777182913	NA	0.25	0.25	0	0
ATP6V0A1	blood plasma|case-blood plasma|control	-1.283121262	1.035698045	-0.785481922	4	0.777355515	0.777355515	NA	0.25	0.25	0	0
MRPL9	blood plasma|case-blood plasma|control	0.36993943	1.035698045	-0.785481922	4	0.777372996	0.777372996	NA	0.25	0.25	0	0
TGOLN2	blood plasma|case-blood plasma|control	1.773588685	1.035698045	-0.785481922	4	0.777378495	0.777378495	NA	0.25	0.25	0	0
MT-ND4	blood plasma|case-blood plasma|control	-1.278058916	1.035698045	-0.785481922	4	0.777654527	0.777654527	NA	0.25	0.25	0	0
ADD3	blood plasma|case-blood plasma|control	0.226468974	1.035698045	-0.785481922	4	0.778010907	0.778010907	NA	0.25	0.25	0	0
UBE2M	blood plasma|case-blood plasma|control	-1.732650584	1.035698045	-0.785481922	4	0.77802031	0.77802031	NA	0.25	0.25	0	0
LONP1	blood plasma|case-blood plasma|control	-1.733758827	1.035698045	-0.785481922	4	0.778494314	0.778494314	NA	0.25	0.25	0	0
DHX15	blood plasma|case-blood plasma|control	-0.995165547	1.035698045	-0.785481922	4	0.778521124	0.778521124	NA	0.25	0.25	0	0
CD2BP2	blood plasma|case-blood plasma|control	-0.569630918	1.035698045	-0.785481922	4	0.778587608	0.778587608	NA	0.25	0.25	0	0
TIMM23;TIMM23B	blood plasma|case-blood plasma|control	1.329848787	1.035698045	-0.785481922	4	0.778679753	0.778679753	NA	0.25	0.25	0	0
RAB13	blood plasma|case-blood plasma|control	1.558429196	1.035698045	-0.785481922	4	0.779056974	0.779056974	NA	0.25	0.25	0	0
NELFA	blood plasma|case-blood plasma|control	-0.042795989	1.035698045	-0.785481922	4	0.77936286	0.77936286	NA	0.25	0.25	0	0
PSMB5	blood plasma|case-blood plasma|control	0.1504409	1.035698045	-0.785481922	4	0.779513465	0.779513465	NA	0.25	0.25	0	0
AKR1C3	blood plasma|case-blood plasma|control	-1.97501796	1.035698045	-0.785481922	4	0.779846034	0.779846034	NA	0.25	0.25	0	0
GGCX	blood plasma|case-blood plasma|control	0.513032318	1.035698045	-0.785481922	4	0.779937946	0.779937946	NA	0.25	0.25	0	0
MRPS5	blood plasma|case-blood plasma|control	-0.512097409	1.035698045	-0.785481922	4	0.779938041	0.779938041	NA	0.25	0.25	0	0
COQ9	blood plasma|case-blood plasma|control	-2.251295722	1.035698045	-0.785481922	4	0.780429052	0.780429052	NA	0.25	0.25	0	0
MORC3	blood plasma|case-blood plasma|control	-0.428393463	1.035698045	-0.785481922	4	0.780429124	0.780429124	NA	0.25	0.25	0	0
MRPS34	blood plasma|case-blood plasma|control	-0.029337753	1.035698045	-0.785481922	4	0.780432816	0.780432816	NA	0.25	0.25	0	0
TST	blood plasma|case-blood plasma|control	3.026364023	1.035698045	-0.785481922	4	0.7805722	0.7805722	NA	0.25	0.25	0	0
RAB5A	blood plasma|case-blood plasma|control	-2.699071047	1.035698045	-0.785481922	4	0.780711351	0.780711351	NA	0.25	0.25	0	0
SLC25A11	blood plasma|case-blood plasma|control	-1.827656692	1.035698045	-0.785481922	4	0.780844961	0.780844961	NA	0.25	0.25	0	0
COG5	blood plasma|case-blood plasma|control	0.613867229	1.035698045	-0.785481922	4	0.781022799	0.781022799	NA	0.25	0.25	0	0
NKRF	blood plasma|case-blood plasma|control	1.636433665	1.035698045	-0.785481922	4	0.781544355	0.781544355	NA	0.25	0.25	0	0
NUP98	blood plasma|case-blood plasma|control	-0.901085471	1.035698045	-0.785481922	4	0.781634626	0.781634626	NA	0.25	0.25	0	0
LYAR	blood plasma|case-blood plasma|control	0.170649627	1.035698045	-0.785481922	4	0.781727665	0.781727665	NA	0.25	0.25	0	0
CAPN1	blood plasma|case-blood plasma|control	-0.472717893	1.035698045	-0.785481922	4	0.781843278	0.781843278	NA	0.25	0.25	0	0
SPTA1	blood plasma|case-blood plasma|control	-2.617427303	1.035698045	-0.785481922	4	0.781862097	0.781862097	NA	0.25	0.25	0	0
ASRGL1	blood plasma|case-blood plasma|control	-2.149386624	1.035698045	-0.785481922	4	0.781998686	0.781998686	NA	0.25	0.25	0	0
SLMAP	blood plasma|case-blood plasma|control	2.8539531	1.035698045	-0.785481922	4	0.782095221	0.782095221	NA	0.25	0.25	0	0
ELOA	blood plasma|case-blood plasma|control	-2.271779777	1.035698045	-0.785481922	4	0.782145643	0.782145643	NA	0.25	0.25	0	0
RIDA	blood plasma|case-blood plasma|control	-0.269437173	1.035698045	-0.785481922	4	0.782285212	0.782285212	NA	0.25	0.25	0	0
DNAJC8	blood plasma|case-blood plasma|control	-0.52982433	1.035698045	-0.785481922	4	0.782303368	0.782303368	NA	0.25	0.25	0	0
NSRP1	blood plasma|case-blood plasma|control	-1.348968582	1.035698045	-0.785481922	4	0.782460799	0.782460799	NA	0.25	0.25	0	0
INIP	blood plasma|case-blood plasma|control	-2.13230705	1.035698045	-0.785481922	4	0.782465138	0.782465138	NA	0.25	0.25	0	0
ABCB7	blood plasma|case-blood plasma|control	2.600182519	1.035698045	-0.785481922	4	0.782831045	0.782831045	NA	0.25	0.25	0	0
PSMB3	blood plasma|case-blood plasma|control	0.120643793	1.035698045	-0.785481922	4	0.782902113	0.782902113	NA	0.25	0.25	0	0
AIFM1	blood plasma|case-blood plasma|control	-2.109987274	1.035698045	-0.785481922	4	0.783101018	0.783101018	NA	0.25	0.25	0	0
TXNDC17	blood plasma|case-blood plasma|control	-0.081185365	1.035698045	-0.785481922	4	0.783372388	0.783372388	NA	0.25	0.25	0	0
FKBP4	blood plasma|case-blood plasma|control	-1.468769617	1.035698045	-0.785481922	4	0.783438841	0.783438841	NA	0.25	0.25	0	0
SLC39A7	blood plasma|case-blood plasma|control	-0.034261973	1.035698045	-0.785481922	4	0.783548385	0.783548385	NA	0.25	0.25	0	0
SP3	blood plasma|case-blood plasma|control	-0.580004324	1.035698045	-0.785481922	4	0.783576352	0.783576352	NA	0.25	0.25	0	0
PSMG2	blood plasma|case-blood plasma|control	0.466330651	1.035698045	-0.785481922	4	0.783657414	0.783657414	NA	0.25	0.25	0	0
WAPL	blood plasma|case-blood plasma|control	1.038905856	1.035698045	-0.785481922	4	0.783915506	0.783915506	NA	0.25	0.25	0	0
BAG1	blood plasma|case-blood plasma|control	1.302056357	1.035698045	-0.785481922	4	0.783989191	0.783989191	NA	0.25	0.25	0	0
EAPP	blood plasma|case-blood plasma|control	-1.601090247	1.035698045	-0.785481922	4	0.78403381	0.78403381	NA	0.25	0.25	0	0
LMAN1	blood plasma|case-blood plasma|control	-1.397004831	1.035698045	-0.785481922	4	0.784092393	0.784092393	NA	0.25	0.25	0	0
ERP44	blood plasma|case-blood plasma|control	-2.757958194	1.035698045	-0.785481922	4	0.784344067	0.784344067	NA	0.25	0.25	0	0
VAPB	blood plasma|case-blood plasma|control	-0.178069197	1.035698045	-0.785481922	4	0.784575026	0.784575026	NA	0.25	0.25	0	0
DHCR24	blood plasma|case-blood plasma|control	0.691879573	1.035698045	-0.785481922	4	0.784610922	0.784610922	NA	0.25	0.25	0	0
PALLD	blood plasma|case-blood plasma|control	-1.987982668	1.035698045	-0.785481922	4	0.784696748	0.784696748	NA	0.25	0.25	0	0
TMEM165	blood plasma|case-blood plasma|control	-0.057917722	1.035698045	-0.785481922	4	0.784707713	0.784707713	NA	0.25	0.25	0	0
SEC24A	blood plasma|case-blood plasma|control	-1.886448361	1.035698045	-0.785481922	4	0.784792362	0.784792362	NA	0.25	0.25	0	0
MRPL45	blood plasma|case-blood plasma|control	1.196997667	1.035698045	-0.785481922	4	0.784835199	0.784835199	NA	0.25	0.25	0	0
GSTM3	blood plasma|case-blood plasma|control	1.239593927	1.035698045	-0.785481922	4	0.785141331	0.785141331	NA	0.25	0.25	0	0
FKBP3	blood plasma|case-blood plasma|control	0.272567739	1.035698045	-0.785481922	4	0.785191904	0.785191904	NA	0.25	0.25	0	0
DNAJC11	blood plasma|case-blood plasma|control	-1.706957807	1.035698045	-0.785481922	4	0.785453972	0.785453972	NA	0.25	0.25	0	0
TBL1X	blood plasma|case-blood plasma|control	-0.043429484	1.035698045	-0.785481922	4	0.785525912	0.785525912	NA	0.25	0.25	0	0
EXOSC4	blood plasma|case-blood plasma|control	0.224631736	1.035698045	-0.785481922	4	0.785617253	0.785617253	NA	0.25	0.25	0	0
NUP153	blood plasma|case-blood plasma|control	-2.331016138	1.035698045	-0.785481922	4	0.785712698	0.785712698	NA	0.25	0.25	0	0
ALDH18A1	blood plasma|case-blood plasma|control	-2.383419785	1.035698045	-0.785481922	4	0.785904515	0.785904515	NA	0.25	0.25	0	0
RNASET2	blood plasma|case-blood plasma|control	-1.05266191	1.035698045	-0.785481922	4	0.786239774	0.786239774	NA	0.25	0.25	0	0
HNRNPA2B1	blood plasma|case-blood plasma|control	0.969612452	1.035698045	-0.785481922	4	0.786243389	0.786243389	NA	0.25	0.25	0	0
WASL	blood plasma|case-blood plasma|control	1.580418555	1.035698045	-0.785481922	4	0.786402743	0.786402743	NA	0.25	0.25	0	0
TMEM30A	blood plasma|case-blood plasma|control	0.355555172	1.035698045	-0.785481922	4	0.786470185	0.786470185	NA	0.25	0.25	0	0
TGFBI	blood plasma|case-blood plasma|control	0.135531799	1.035698045	-0.785481922	4	0.786750133	0.786750133	NA	0.25	0.25	0	0
CD109	blood plasma|case-blood plasma|control	-0.587127375	1.035698045	-0.785481922	4	0.78710797	0.78710797	NA	0.25	0.25	0	0
SYNGR2	blood plasma|case-blood plasma|control	0.62925839	1.035698045	-0.785481922	4	0.787112633	0.787112633	NA	0.25	0.25	0	0
MT-CO2	blood plasma|case-blood plasma|control	-2.430674696	1.035698045	-0.785481922	4	0.787183452	0.787183452	NA	0.25	0.25	0	0
SRP19	blood plasma|case-blood plasma|control	1.303875101	1.035698045	-0.785481922	4	0.78722365	0.78722365	NA	0.25	0.25	0	0
POLDIP3	blood plasma|case-blood plasma|control	0.206019712	1.035698045	-0.785481922	4	0.787448932	0.787448932	NA	0.25	0.25	0	0
RNASEH2C	blood plasma|case-blood plasma|control	0.630683288	1.035698045	-0.785481922	4	0.787542073	0.787542073	NA	0.25	0.25	0	0
EPS15	blood plasma|case-blood plasma|control	0.936383658	1.035698045	-0.785481922	4	0.787774158	0.787774158	NA	0.25	0.25	0	0
NDUFS4	blood plasma|case-blood plasma|control	0.429374747	1.035698045	-0.785481922	4	0.788155484	0.788155484	NA	0.25	0.25	0	0
ITGA5	blood plasma|case-blood plasma|control	2.420003856	1.035698045	-0.785481922	4	0.788196225	0.788196225	NA	0.25	0.25	0	0
CDC23	blood plasma|case-blood plasma|control	-1.014725444	1.035698045	-0.785481922	4	0.788208664	0.788208664	NA	0.25	0.25	0	0
ARFGAP1	blood plasma|case-blood plasma|control	-1.215651156	1.035698045	-0.785481922	4	0.788268638	0.788268638	NA	0.25	0.25	0	0
HPRT1	blood plasma|case-blood plasma|control	1.097728521	1.035698045	-0.785481922	4	0.788725057	0.788725057	NA	0.25	0.25	0	0
EML3	blood plasma|case-blood plasma|control	1.880425747	1.035698045	-0.785481922	4	0.788748754	0.788748754	NA	0.25	0.25	0	0
DARS1	blood plasma|case-blood plasma|control	0.685522292	1.035698045	-0.785481922	4	0.788777081	0.788777081	NA	0.25	0.25	0	0
GRIPAP1	blood plasma|case-blood plasma|control	-0.89276175	1.035698045	-0.785481922	4	0.789059142	0.789059142	NA	0.25	0.25	0	0
EIF4E2	blood plasma|case-blood plasma|control	1.470706466	1.035698045	-0.785481922	4	0.789476687	0.789476687	NA	0.25	0.25	0	0
DEK	blood plasma|case-blood plasma|control	-1.446302883	1.035698045	-0.785481922	4	0.789501439	0.789501439	NA	0.25	0.25	0	0
DAP3	blood plasma|case-blood plasma|control	-1.560184506	1.035698045	-0.785481922	4	0.789614258	0.789614258	NA	0.25	0.25	0	0
CHD1	blood plasma|case-blood plasma|control	1.744017163	1.035698045	-0.785481922	4	0.789711828	0.789711828	NA	0.25	0.25	0	0
SLC39A7	blood plasma|case-blood plasma|control	-0.016224495	1.035698045	-0.785481922	4	0.789855908	0.789855908	NA	0.25	0.25	0	0
TRAM1	blood plasma|case-blood plasma|control	-0.037136607	1.035698045	-0.785481922	4	0.789950782	0.789950782	NA	0.25	0.25	0	0
CWC27	blood plasma|case-blood plasma|control	0.120949231	1.035698045	-0.785481922	4	0.79005354	0.79005354	NA	0.25	0.25	0	0
NT5C3A	blood plasma|case-blood plasma|control	-1.109093974	1.035698045	-0.785481922	4	0.790178974	0.790178974	NA	0.25	0.25	0	0
APOC3	blood plasma|case-blood plasma|control	0.68250762	1.035698045	-0.785481922	4	0.790378812	0.790378812	NA	0.25	0.25	0	0
PNPLA4	blood plasma|case-blood plasma|control	-1.757746924	1.035698045	-0.785481922	4	0.79040034	0.79040034	NA	0.25	0.25	0	0
AGFG1	blood plasma|case-blood plasma|control	1.6225525	1.035698045	-0.785481922	4	0.790509652	0.790509652	NA	0.25	0.25	0	0
SPTLC2	blood plasma|case-blood plasma|control	-2.817398496	1.035698045	-0.785481922	4	0.790561661	0.790561661	NA	0.25	0.25	0	0
TALDO1	blood plasma|case-blood plasma|control	0.727762174	1.035698045	-0.785481922	4	0.7906545	0.7906545	NA	0.25	0.25	0	0
MED8	blood plasma|case-blood plasma|control	1.862316357	1.035698045	-0.785481922	4	0.790977809	0.790977809	NA	0.25	0.25	0	0
FECH	blood plasma|case-blood plasma|control	-1.664600027	1.035698045	-0.785481922	4	0.79099435	0.79099435	NA	0.25	0.25	0	0
PRKCSH	blood plasma|case-blood plasma|control	-0.642758876	1.035698045	-0.785481922	4	0.791229598	0.791229598	NA	0.25	0.25	0	0
NAT10	blood plasma|case-blood plasma|control	-0.526717558	1.035698045	-0.785481922	4	0.791415673	0.791415673	NA	0.25	0.25	0	0
SRP72	blood plasma|case-blood plasma|control	-0.095485122	1.035698045	-0.785481922	4	0.791610977	0.791610977	NA	0.25	0.25	0	0
FAM91A1	blood plasma|case-blood plasma|control	-0.220864126	1.035698045	-0.785481922	4	0.791881148	0.791881148	NA	0.25	0.25	0	0
CTR9	blood plasma|case-blood plasma|control	-1.272411676	1.035698045	-0.785481922	4	0.79193046	0.79193046	NA	0.25	0.25	0	0
SSB	blood plasma|case-blood plasma|control	-0.544470227	1.035698045	-0.785481922	4	0.792107507	0.792107507	NA	0.25	0.25	0	0
IARS1	blood plasma|case-blood plasma|control	-0.83631339	1.035698045	-0.785481922	4	0.792124467	0.792124467	NA	0.25	0.25	0	0
NR2F1;NR2F2;NR2F6	blood plasma|case-blood plasma|control	-0.865724922	1.035698045	-0.785481922	4	0.792224576	0.792224576	NA	0.25	0.25	0	0
SEPTIN6	blood plasma|case-blood plasma|control	-0.176435691	1.035698045	-0.785481922	4	0.792425986	0.792425986	NA	0.25	0.25	0	0
USP10	blood plasma|case-blood plasma|control	0.453460647	1.035698045	-0.785481922	4	0.792586732	0.792586732	NA	0.25	0.25	0	0
DHX33	blood plasma|case-blood plasma|control	-2.633864402	1.035698045	-0.785481922	4	0.792609657	0.792609657	NA	0.25	0.25	0	0
H2AC18;H2AC11;H2AC14;H2AJ;H2AC20;H2AC6;H2AC25;H2AC4;H2AC12;H2AC7	blood plasma|case-blood plasma|control	-0.251671988	1.035698045	-0.785481922	4	0.792929829	0.792929829	NA	0.25	0.25	0	0
RNF114	blood plasma|case-blood plasma|control	-0.230829828	1.035698045	-0.785481922	4	0.793292927	0.793292927	NA	0.25	0.25	0	0
PTGR1	blood plasma|case-blood plasma|control	-0.763681438	1.035698045	-0.785481922	4	0.79338199	0.79338199	NA	0.25	0.25	0	0
SNRNP200	blood plasma|case-blood plasma|control	-0.919410194	1.035698045	-0.785481922	4	0.79339106	0.79339106	NA	0.25	0.25	0	0
FABP5	blood plasma|case-blood plasma|control	2.303965296	1.035698045	-0.785481922	4	0.793447259	0.793447259	NA	0.25	0.25	0	0
ATP5F1B	blood plasma|case-blood plasma|control	-1.621183691	1.035698045	-0.785481922	4	0.793853511	0.793853511	NA	0.25	0.25	0	0
NEDD8	blood plasma|case-blood plasma|control	0.967910469	1.035698045	-0.785481922	4	0.793981241	0.793981241	NA	0.25	0.25	0	0
PLK1	blood plasma|case-blood plasma|control	1.214605938	1.035698045	-0.785481922	4	0.794072369	0.794072369	NA	0.25	0.25	0	0
LGMN	blood plasma|case-blood plasma|control	0.069190001	1.035698045	-0.785481922	4	0.794315615	0.794315615	NA	0.25	0.25	0	0
TAPBP	blood plasma|case-blood plasma|control	1.488234336	1.035698045	-0.785481922	4	0.794335762	0.794335762	NA	0.25	0.25	0	0
MESD	blood plasma|case-blood plasma|control	2.582293305	1.035698045	-0.785481922	4	0.794659692	0.794659692	NA	0.25	0.25	0	0
BYSL	blood plasma|case-blood plasma|control	0.051258055	1.035698045	-0.785481922	4	0.794791686	0.794791686	NA	0.25	0.25	0	0
HMGCS1	blood plasma|case-blood plasma|control	-3.04680755	1.035698045	-0.785481922	4	0.794964154	0.794964154	NA	0.25	0.25	0	0
ATP2C1	blood plasma|case-blood plasma|control	-0.203782253	1.035698045	-0.785481922	4	0.794966886	0.794966886	NA	0.25	0.25	0	0
EVPL	blood plasma|case-blood plasma|control	3.036875901	1.035698045	-0.785481922	4	0.795078745	0.795078745	NA	0.25	0.25	0	0
MRPS21	blood plasma|case-blood plasma|control	-2.87350017	1.035698045	-0.785481922	4	0.795202924	0.795202924	NA	0.25	0.25	0	0
GPKOW	blood plasma|case-blood plasma|control	1.042843375	1.035698045	-0.785481922	4	0.795222899	0.795222899	NA	0.25	0.25	0	0
EIF4A1	blood plasma|case-blood plasma|control	0.983342598	1.035698045	-0.785481922	4	0.79527019	0.79527019	NA	0.25	0.25	0	0
FABP5	blood plasma|case-blood plasma|control	1.851291634	1.035698045	-0.785481922	4	0.795397214	0.795397214	NA	0.25	0.25	0	0
POLR2G	blood plasma|case-blood plasma|control	-1.538647132	1.035698045	-0.785481922	4	0.795408056	0.795408056	NA	0.25	0.25	0	0
PSAT1	blood plasma|case-blood plasma|control	-0.175182806	1.035698045	-0.785481922	4	0.795418225	0.795418225	NA	0.25	0.25	0	0
DSN1	blood plasma|case-blood plasma|control	-0.158087923	1.035698045	-0.785481922	4	0.795430745	0.795430745	NA	0.25	0.25	0	0
SCLY	blood plasma|case-blood plasma|control	1.727663025	1.035698045	-0.785481922	4	0.795436021	0.795436021	NA	0.25	0.25	0	0
NDUFB3	blood plasma|case-blood plasma|control	-1.142913385	1.035698045	-0.785481922	4	0.795519552	0.795519552	NA	0.25	0.25	0	0
SMNDC1	blood plasma|case-blood plasma|control	0.050861634	1.035698045	-0.785481922	4	0.795557262	0.795557262	NA	0.25	0.25	0	0
RPL9	blood plasma|case-blood plasma|control	1.110551485	1.035698045	-0.785481922	4	0.795762859	0.795762859	NA	0.25	0.25	0	0
YBX1	blood plasma|case-blood plasma|control	2.068018885	1.035698045	-0.785481922	4	0.79584683	0.79584683	NA	0.25	0.25	0	0
COX20	blood plasma|case-blood plasma|control	1.650424111	1.035698045	-0.785481922	4	0.795863662	0.795863662	NA	0.25	0.25	0	0
RRS1	blood plasma|case-blood plasma|control	-0.028314993	1.035698045	-0.785481922	4	0.795873507	0.795873507	NA	0.25	0.25	0	0
PSMD2	blood plasma|case-blood plasma|control	-2.109623112	1.035698045	-0.785481922	4	0.795876536	0.795876536	NA	0.25	0.25	0	0
FAU	blood plasma|case-blood plasma|control	1.178015445	1.035698045	-0.785481922	4	0.79590108	0.79590108	NA	0.25	0.25	0	0
C2orf49	blood plasma|case-blood plasma|control	1.312565785	1.035698045	-0.785481922	4	0.795942906	0.795942906	NA	0.25	0.25	0	0
SEC11A	blood plasma|case-blood plasma|control	0.418856971	1.035698045	-0.785481922	4	0.796033698	0.796033698	NA	0.25	0.25	0	0
SEPTIN8	blood plasma|case-blood plasma|control	-0.685655274	1.035698045	-0.785481922	4	0.796313441	0.796313441	NA	0.25	0.25	0	0
NDUFB3	blood plasma|case-blood plasma|control	0.68657278	1.035698045	-0.785481922	4	0.796367111	0.796367111	NA	0.25	0.25	0	0
PSMD13	blood plasma|case-blood plasma|control	-1.217843169	1.035698045	-0.785481922	4	0.796470605	0.796470605	NA	0.25	0.25	0	0
STMN1	blood plasma|case-blood plasma|control	-1.636720297	1.035698045	-0.785481922	4	0.796544204	0.796544204	NA	0.25	0.25	0	0
LMO7	blood plasma|case-blood plasma|control	-0.143162928	1.035698045	-0.785481922	4	0.796596502	0.796596502	NA	0.25	0.25	0	0
LRPPRC	blood plasma|case-blood plasma|control	-1.01244346	1.035698045	-0.785481922	4	0.79665703	0.79665703	NA	0.25	0.25	0	0
LRRC57	blood plasma|case-blood plasma|control	2.13840963	1.035698045	-0.785481922	4	0.797260971	0.797260971	NA	0.25	0.25	0	0
NHLRC2	blood plasma|case-blood plasma|control	-1.306155816	1.035698045	-0.785481922	4	0.797286438	0.797286438	NA	0.25	0.25	0	0
C2CD5	blood plasma|case-blood plasma|control	0.167306104	1.035698045	-0.785481922	4	0.797544762	0.797544762	NA	0.25	0.25	0	0
NOC2L	blood plasma|case-blood plasma|control	-1.701780258	1.035698045	-0.785481922	4	0.797562193	0.797562193	NA	0.25	0.25	0	0
TMEM263	blood plasma|case-blood plasma|control	-0.494737101	1.035698045	-0.785481922	4	0.79758494	0.79758494	NA	0.25	0.25	0	0
LYPLA2	blood plasma|case-blood plasma|control	-0.129946877	1.035698045	-0.785481922	4	0.797633885	0.797633885	NA	0.25	0.25	0	0
USP8	blood plasma|case-blood plasma|control	-1.165019755	1.035698045	-0.785481922	4	0.79768137	0.79768137	NA	0.25	0.25	0	0
IFI35	blood plasma|case-blood plasma|control	-2.620719982	1.035698045	-0.785481922	4	0.797732919	0.797732919	NA	0.25	0.25	0	0
RER1	blood plasma|case-blood plasma|control	-2.149663955	1.035698045	-0.785481922	4	0.797823832	0.797823832	NA	0.25	0.25	0	0
ATP5PB	blood plasma|case-blood plasma|control	0.155474627	1.035698045	-0.785481922	4	0.797825263	0.797825263	NA	0.25	0.25	0	0
TIMM10	blood plasma|case-blood plasma|control	-0.498378773	1.035698045	-0.785481922	4	0.798088434	0.798088434	NA	0.25	0.25	0	0
MCU	blood plasma|case-blood plasma|control	1.87786957	1.035698045	-0.785481922	4	0.798094176	0.798094176	NA	0.25	0.25	0	0
XRCC5	blood plasma|case-blood plasma|control	1.253244386	1.035698045	-0.785481922	4	0.79810483	0.79810483	NA	0.25	0.25	0	0
SNRPD3	blood plasma|case-blood plasma|control	-1.352221974	1.035698045	-0.785481922	4	0.79819877	0.79819877	NA	0.25	0.25	0	0
LMAN1	blood plasma|case-blood plasma|control	-1.468514441	1.035698045	-0.785481922	4	0.798353751	0.798353751	NA	0.25	0.25	0	0
TAPBP	blood plasma|case-blood plasma|control	0.568059022	1.035698045	-0.785481922	4	0.798522894	0.798522894	NA	0.25	0.25	0	0
LSM3	blood plasma|case-blood plasma|control	0.872764786	1.035698045	-0.785481922	4	0.798571089	0.798571089	NA	0.25	0.25	0	0
DNPH1	blood plasma|case-blood plasma|control	1.334989287	1.035698045	-0.785481922	4	0.798714807	0.798714807	NA	0.25	0.25	0	0
XPNPEP1	blood plasma|case-blood plasma|control	0.05074049	1.035698045	-0.785481922	4	0.798775808	0.798775808	NA	0.25	0.25	0	0
HERC6	blood plasma|case-blood plasma|control	1.397814865	1.035698045	-0.785481922	4	0.798973863	0.798973863	NA	0.25	0.25	0	0
YME1L1	blood plasma|case-blood plasma|control	-1.391541476	1.035698045	-0.785481922	4	0.799217743	0.799217743	NA	0.25	0.25	0	0
METTL3	blood plasma|case-blood plasma|control	2.099714001	1.035698045	-0.785481922	4	0.799322427	0.799322427	NA	0.25	0.25	0	0
RRM2	blood plasma|case-blood plasma|control	-0.772323044	1.035698045	-0.785481922	4	0.799865341	0.799865341	NA	0.25	0.25	0	0
METTL13	blood plasma|case-blood plasma|control	-0.293041158	1.035698045	-0.785481922	4	0.799926938	0.799926938	NA	0.25	0.25	0	0
COPS7B	blood plasma|case-blood plasma|control	-1.215395345	1.035698045	-0.785481922	4	0.800189639	0.800189639	NA	0.25	0.25	0	0
PABPN1	blood plasma|case-blood plasma|control	-0.733324482	1.035698045	-0.785481922	4	0.800579459	0.800579459	NA	0.25	0.25	0	0
OFD1	blood plasma|case-blood plasma|control	1.777945398	1.035698045	-0.785481922	4	0.80063801	0.80063801	NA	0.25	0.25	0	0
INIP	blood plasma|case-blood plasma|control	0.247305363	1.035698045	-0.785481922	4	0.800753961	0.800753961	NA	0.25	0.25	0	0
SNX6	blood plasma|case-blood plasma|control	0.619115212	1.035698045	-0.785481922	4	0.80075849	0.80075849	NA	0.25	0.25	0	0
GNL1	blood plasma|case-blood plasma|control	2.227407594	1.035698045	-0.785481922	4	0.80081602	0.80081602	NA	0.25	0.25	0	0
COPS4	blood plasma|case-blood plasma|control	-0.70689025	1.035698045	-0.785481922	4	0.800859954	0.800859954	NA	0.25	0.25	0	0
PICALM	blood plasma|case-blood plasma|control	-0.046422121	1.035698045	-0.785481922	4	0.800964348	0.800964348	NA	0.25	0.25	0	0
HTATSF1	blood plasma|case-blood plasma|control	2.453329875	1.035698045	-0.785481922	4	0.801286766	0.801286766	NA	0.25	0.25	0	0
SLC38A5	blood plasma|case-blood plasma|control	-2.920881794	1.035698045	-0.785481922	4	0.801529238	0.801529238	NA	0.25	0.25	0	0
BPTF	blood plasma|case-blood plasma|control	-2.157641149	1.035698045	-0.785481922	4	0.801693356	0.801693356	NA	0.25	0.25	0	0
